Code,region,region all,epidemic_region,activity_level_of_mite,percentage_of_mite,density,mean_wage,Ev_znmean,Biomean,anthropmea,mean
63,Самарская область,35,26,8,74.2,58.88,37732,430.01282187033746,46.900481540930976,33.247830279652845,2580.781526104417
78,Санкт-Петербург,18,6,10,100.0,3837.73,66786,431.19571865443424,44.717391304347835,18.951219512195124,1753.162162162162
64,Саратовская область,0,0,1,10.0,23.66,31446,385.1544791165063,58.52923274066954,33.84477296726505,2561.9905479013137
65,Сахалинская область,18,15,8,78.9,5.58,89378,434.71485573772617,13.28772258669166,52.48648648648648,2326.7205438066467
66,Свердловская область,94,94,10,100.0,22.08,42423,431.93174144423296,10.797335564422706,48.77996298010181,2512.1259011328525
92,Севастополь,4,4,5,40.0,590.27,35521,446.0235378031384,94.77777777777776,28.4,2406.4074074074074
67,Смоленская область,0,0,2,10.0,18.5,32454,492.95178759514306,47.57559988435964,38.90476190476191,2943.209598149754
26,Ставропольский край,0,0,3,10.0,42.21,33080,393.41778521946327,99.51112247507032,33.75763182238668,2674.6397340833546
68,Тамбовская область,0,0,2,10.0,28.86,29843,454.4025095207028,55.672290172922814,33.153614457831324,2601.804301982286
69,Тверская область,37,12,4,35.2,14.79,34377,478.8160212195704,38.476381599259035,43.3757643135075,2713.684421800216
70,Томская область,20,20,10,100.0,3.4,45897,419.7181030601447,-11.868649466475553,53.08086756679114,2591.859053989489
71,Тульская область,0,0,2,10.0,56.43,39013,496.6099344029084,49.12204507971413,31.781124497991968,3056.2765255634963
72,Тюменская область,23,23,10,100.0,9.64,49817,395.36480231910167,9.821852922286448,48.07407407407408,2671.940586109996
18,Удмуртская Республика,29,29,10,100.0,35.5,35445,448.820188924286,29.132511556240367,38.39024390243903,2905.940215716487
73,Ульяновская область,24,5,3,20.0,32.77,31976,450.77591621606854,41.95060790273556,34.84840055632824,2896.859749144812
27,Хабаровский край,19,16,9,84.2,1.65,51843,436.89259417940576,-77.88459983088858,57.33238779626828,2451.9075215332005
86,Ханты-Мансийский автономный округ - Югра,22,19,9,86.3,3.16,77104,393.6495290779429,-17.206445605941976,56.290132435122096,2517.9981378026077
74,Челябинская область,39,39,10,100.0,38.89,38164,390.47990677467527,13.273173046504272,37.23959505061868,2790.028313824739
20,Чеченская Республика,0,0,1,10.0,92.63,28794,471.4817879483728,81.9376498800959,37.8804780876494,3070.039568345324
21,Чувашская Республика - Чувашия,0,0,1,10.0,65.85,31059,451.6550358756312,39.15770081061165,34.145888594164454,3139.2380250552687
87,Чукотский автономный округ,0,0,1,10.0,0.07,115739,221.6598121828335,-140.85366044834615,58.13311299516214,2628.8152644602537
89,Ямало-Ненецкий автономный округ,0,0,1,10.0,0.71,106419,275.3408752035471,-57.20972780008925,59.31119740464019,2953.1646856403213
76,Ярославская область,23,18,8,78.2,34.32,37008,462.6443809886414,36.254506892895016,39.78714859437751,2695.8258547008545
